AssigneeID	KeywordID
A_000099	K_092878
A_000099	K_095075
A_000099	K_099425
A_000099	K_099512
A_000099	K_099732
A_000099	K_099748
A_000099	K_100755
A_000099	K_100908
A_000099	K_100995
A_000099	K_102803
A_000099	K_104030
A_000099	K_104031
A_000099	K_104050
A_000099	K_104342
A_000099	K_105101
A_000099	K_105747
A_000099	K_106498
A_000099	K_107080
A_000099	K_107393
A_000099	K_107502
A_000099	K_107683
A_000099	K_107808
A_000099	K_109497
A_000099	K_110428
A_000099	K_112776
A_000099	K_114413
A_000099	K_114546
A_000099	K_114548
A_000099	K_115157
A_000099	K_115686
A_000099	K_115688
A_000099	K_124741
A_000099	K_132255
A_000099	K_132343
A_000099	K_132344
A_000099	K_132474
A_000099	K_132908
A_000099	K_133244
A_000099	K_133958
A_000099	K_135554
A_000099	K_136814
A_000099	K_138117
A_000099	K_138118
A_000099	K_138448
A_000099	K_138455
A_000099	K_139583
A_000099	K_139585
A_000099	K_140062
A_000099	K_140078
A_000099	K_140598
A_000099	K_140835
A_000099	K_140929
A_000099	K_141046
A_000099	K_141116
A_000099	K_141679
A_000099	K_142210
A_000099	K_143210
A_000099	K_151859
A_000099	K_155844
A_000099	K_157341
A_000099	K_157691
A_000099	K_157798
A_000099	K_158439
A_000099	K_159495
A_000099	K_159654
A_000099	K_160219
A_000099	K_160651
A_000099	K_162166
A_000099	K_164177
A_000099	K_164425
A_000099	K_164802
A_000099	K_164863
A_000099	K_181030
A_000099	K_181938
A_000099	K_184567
A_000099	K_184568
A_000099	K_185376
A_000099	K_192761
A_000099	K_192849
A_000099	K_192868
A_000099	K_194100
A_000099	K_194300
A_000099	K_197616
A_000099	K_199667
A_000099	K_199668
A_000099	K_199991
A_000099	K_205889
A_000099	K_210126
A_000099	K_213439
A_000099	K_213579
A_000099	K_244472
A_000099	K_256520
A_000099	K_257213
A_000099	K_257395
A_000099	K_258432
A_000099	K_259565
A_000099	K_264246
A_000099	K_264251
A_000099	K_264252
A_000099	K_265473
A_000099	K_270093
A_000099	K_271462
A_000099	K_274053
A_000099	K_280172
A_000099	K_287589
A_000099	K_287590
A_000099	K_289468
A_000099	K_293410
A_000099	K_293419
A_000099	K_300847
A_000099	K_304899
A_000099	K_304938
A_000099	K_305034
A_000099	K_305127
A_000099	K_309098
A_000099	K_309227
A_000099	K_309322
A_000099	K_309860
A_000099	K_310094
A_000099	K_310484
A_000099	K_310957
A_000099	K_311124
A_000099	K_314663
A_000099	K_316002
A_000099	K_317207
A_000099	K_317545
A_000099	K_317941
A_000099	K_321638
A_000099	K_322312
A_000099	K_322363
A_000099	K_322458
A_000099	K_323170
A_000099	K_323994
A_000099	K_326041
A_000099	K_326579
A_000099	K_327952
A_000099	K_333425
A_000099	K_333427
A_000099	K_333434
A_000099	K_333540
A_000099	K_333989
A_000099	K_334645
A_000099	K_334646
A_000099	K_335162
A_000099	K_335905
A_000099	K_336456
A_000099	K_337568
A_000099	K_341728
A_000099	K_342964
A_000099	K_344321
A_000099	K_346426
A_000099	K_346454
A_000099	K_346485
A_000099	K_346497
A_000099	K_346527
A_000099	K_346528
A_000099	K_346731
A_000099	K_347069
A_000099	K_347129
A_000099	K_347130
A_000099	K_347143
