AssigneeID	KeywordID
A_006695	K_707309
A_000099	K_725877
A_000260	K_711596
A_000910	K_713953
A_007383	K_045430
A_012652	K_080518
A_013124	K_711883
A_022336	K_158219
A_005857	K_439588
A_020780	K_716049
A_006703	K_375435
A_032350	K_722748
A_013124	K_088980
A_024353	K_729044
A_000100	K_369355
A_007705	K_010741
A_013124	K_732734
A_006695	K_710631
A_024928	K_709009
A_006703	K_001877
A_023187	K_714416
A_035880	K_000153
A_007705	K_363831
A_000260	K_610881
A_036285	K_137049
A_007705	K_399047
A_024353	K_089616
A_036001	K_043966
A_013124	K_322312
A_007705	K_714834
A_024099	K_102739
A_024093	K_724578
A_022585	K_004870
A_024093	K_732288
A_006703	K_773953
A_007705	K_743082
A_008801	K_722827
A_036146	K_038533
A_023187	K_312743
A_008042	K_433572
A_007705	K_745764
A_036196	K_706784
A_007383	K_733268
A_000910	K_373397
A_035873	K_614776
A_007705	K_322829
A_006703	K_042706
A_022376	K_774289
A_007705	K_719498
A_021170	K_395315
A_006084	K_724750
A_012652	K_723260
A_036198	K_009009
A_024580	K_405435
A_006695	K_732322
A_027320	K_082676
A_007383	K_370554
A_007705	K_314650
A_008125	K_401315
A_000910	K_717709
A_007383	K_034225
A_000910	K_431897
A_021174	K_465978
A_024800	K_772374
A_006083	K_026341
A_030103	K_453809
A_007705	K_755750
A_007383	K_001491
A_012652	K_018689
A_006703	K_413911
A_007705	K_754311
A_025029	K_106762
A_025510	K_134675
A_005506	K_728854
A_006084	K_431182
A_006695	K_719179
A_001519	K_317207
A_020640	K_293847
A_006084	K_707555
A_000113	K_136326
A_006695	K_743048
A_024353	K_715418
A_006695	K_503293
A_022585	K_730118
A_012652	K_709762
A_029372	K_759487
A_036017	K_080848
A_005857	K_488489
A_024450	K_749430
A_021162	K_199251
A_006703	K_740396
A_022373	K_259105
A_000099	K_337568
A_013579	K_235965
A_006702	K_715578
A_006196	K_205894
A_025904	K_107909
A_036140	K_719183
A_000509	K_356030
A_035538	K_001470
A_006702	K_093292
A_006223	K_061325
A_024353	K_718654
A_007705	K_728555
A_036329	K_754738
A_007705	K_736156
A_000177	K_000611
A_000910	K_727018
A_000099	K_162166
A_007719	K_729616
A_009274	K_041663
A_007705	K_708337
A_010039	K_087336
A_027784	K_012543
A_035878	K_716447
A_007705	K_759991
A_024580	K_706614
A_000260	K_721812
A_007705	K_373247
A_020779	K_716681
A_006702	K_724851
A_036318	K_002539
A_000910	K_715166
A_007383	K_706938
A_007705	K_373485
A_006695	K_305034
A_024708	K_001903
A_035969	K_507433
A_006695	K_710873
A_006702	K_042144
A_006694	K_364923
A_000910	K_374339
A_006084	K_305034
A_007705	K_716429
A_006695	K_753024
A_007705	K_746880
A_006084	K_729837
A_000910	K_719494
A_023056	K_740310
A_025639	K_073172
A_022585	K_760153
A_021162	K_717625
A_021174	K_714359
A_006083	K_095947
A_006702	K_718261
A_036017	K_714293
A_005426	K_001500
A_007705	K_727571
A_008396	K_735915
A_007705	K_376348
A_006184	K_706989
A_000910	K_000769
A_006083	K_111153
A_007705	K_709605
A_000910	K_462394
A_006703	K_066604
A_007705	K_036296
A_007705	K_743883
A_007383	K_710890
A_007705	K_706750
A_000099	K_720189
A_000910	K_499528
A_000910	K_716245
A_007705	K_432050
A_008042	K_368598
A_007829	K_210074
A_000910	K_714127
A_000910	K_369302
A_008252	K_000162
A_006703	K_710040
A_036245	K_382561
A_023076	K_399395
A_000260	K_707557
A_012652	K_445362
A_005496	K_369288
A_006084	K_476090
A_000260	K_339415
A_021162	K_723639
A_006695	K_714597
A_006084	K_730206
A_021148	K_716347
A_023062	K_309322
A_000177	K_235146
A_005496	K_719342
A_006703	K_770834
A_006702	K_743582
A_005882	K_060121
A_006695	K_001638
A_007705	K_762204
A_006703	K_708193
A_006083	K_000157
A_000099	K_714424
A_006703	K_155844
A_005572	K_412147
A_036140	K_406712
A_036343	K_000144
A_036317	K_038533
A_005857	K_088568
A_006185	K_091404
A_007705	K_758427
A_008042	K_653462
A_006760	K_719919
A_007705	K_192868
A_007383	K_706878
A_021174	K_448742
A_007705	K_732640
A_036088	K_401976
A_028274	K_310878
A_035906	K_161209
A_023056	K_715081
A_021840	K_458773
A_036221	K_019998
A_036192	K_715758
A_036007	K_406712
A_024353	K_765889
A_007705	K_708507
A_021174	K_001479
A_008379	K_304899
A_029245	K_719748
A_006695	K_326579
A_007135	K_320752
A_036326	K_711395
A_006083	K_382865
A_012652	K_406230
A_012652	K_716982
A_005857	K_346531
A_009973	K_092750
A_001765	K_325868
A_007719	K_294174
A_024836	K_305903
A_024353	K_080819
A_007714	K_083877
A_007705	K_718060
A_006694	K_710040
A_024353	K_367095
A_036230	K_373541
A_022403	K_711558
A_006196	K_321953
A_006703	K_732272
A_025904	K_709086
A_025431	K_374002
A_006083	K_317542
A_022445	K_333704
A_007705	K_432581
A_000260	K_101701
A_005506	K_000068
A_006695	K_447649
A_007705	K_739577
A_007705	K_424607
A_036083	K_373547
A_007705	K_729553
A_022493	K_108110
A_022411	K_430855
A_000099	K_257395
A_007705	K_737623
A_036246	K_000418
A_006695	K_497965
A_020930	K_431949
A_007996	K_000185
A_036314	K_000957
A_006084	K_709604
A_009080	K_000001
A_012652	K_001910
A_036200	K_000374
A_024580	K_084383
A_023187	K_592302
A_007705	K_101170
A_005882	K_211365
A_007383	K_711503
A_012652	K_722787
A_036332	K_509856
A_006703	K_715814
A_024093	K_741547
A_035878	K_711343
A_035975	K_450581
A_006062	K_737351
A_008042	K_136814
A_007790	K_732656
A_022585	K_723773
A_024353	K_715395
A_007705	K_769966
A_006284	K_586454
A_007790	K_400676
A_006695	K_728132
A_010953	K_471797
A_035538	K_005451
A_000910	K_431869
A_023187	K_731740
A_000294	K_447472
A_028946	K_020096
A_008252	K_309277
A_005496	K_391728
A_006703	K_082433
A_035889	K_353796
A_035875	K_320070
A_012652	K_015314
A_011403	K_086375
A_006084	K_708762
A_021033	K_713572
A_009833	K_725408
A_005496	K_753301
A_035973	K_735809
A_006083	K_715639
A_036001	K_001500
A_022585	K_731842
A_025905	K_724082
A_006703	K_192614
A_000910	K_336431
A_022290	K_335162
A_023056	K_431375
A_007705	K_755695
A_035865	K_707291
A_007790	K_743613
A_035873	K_712397
A_007705	K_010189
A_036235	K_755530
A_007705	K_719164
A_000910	K_714517
A_000099	K_735687
A_005857	K_445432
A_006695	K_672547
A_000910	K_714405
A_006703	K_773683
A_023171	K_378217
A_006694	K_731237
A_022585	K_764514
A_021162	K_448908
A_036254	K_333563
A_006694	K_714994
A_036166	K_087727
A_024450	K_511349
A_020685	K_133837
